This list contains all games supported by FinalBurn Neo.

389 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| lifefrcej	|  	| Lifeforce (Japan)					| salamand	| 1987	| Konami	| GX587		| 					| 587-n02.18b| src/burn/drv/konami/d_nemesis.cpp|
| lifefrce	|  	| Lifeforce (US)					| salamand	| 1986	| Konami	| GX587		| 					| 587-k02.18b| src/burn/drv/konami/d_nemesis.cpp|
| lgtnfghta	|  	| Lightning Fighters (Asia)				| lgtnfght	| 1990	| Konami	| GX939		| 					| 939j_02.e11| src/burn/drv/konami/d_tmnt.cpp|
| lgtnfghtu	|  	| Lightning Fighters (US)				| lgtnfght	| 1990	| Konami	| GX939		| 					| 939m02.e11| src/burn/drv/konami/d_tmnt.cpp|
| lgtnfght	|  	| Lightning Fighters (World)				| 		| 1990	| Konami	| GX939		| 					| 939k02.e11| src/burn/drv/konami/d_tmnt.cpp|
| miaj		|  	| M.I.A. - Missing in Action (version R) (Japan)	| mia		| 1989	| Konami	| GX808		| 					| 808_r05.6n| src/burn/drv/konami/d_twin16.cpp|
| mia2		|  	| M.I.A. - Missing in Action (version S)		| mia		| 1989	| Konami	| GX808		| 					| 808s20.h17| src/burn/drv/konami/d_tmnt.cpp|
| mia		|  	| M.I.A. - Missing in Action (version T)		| 		| 1989	| Konami	| GX808		| 					| 808t20.h17| src/burn/drv/konami/d_tmnt.cpp|
| mstadium	|  	| Main Stadium (Japan ver. 4)				| bottom9	| 1989	| Konami	| GX891		| 					| 891-403.k17| src/burn/drv/konami/d_bottom9.cpp|
| majuu		|  	| Majuu no Ohkoku					| devilw	| 1987	| Konami	| GX687		| 					| 687_s05.6n| src/burn/drv/konami/d_twin16.cpp|
| manhatan	|  	| Manhattan 24 Bunsyo (Japan)				| jailbrek	| 1986	| Konami	| GX507		| 					| 507n03.11d| src/burn/drv/konami/d_jailbrek.cpp|
| mtlchampa	|  	| Martial Champion (ver AAA)				| mtlchamp	| 1993	| Konami	| GX234		| 					| 234aaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mtlchamp1	|  	| Martial Champion (ver EAA)				| mtlchamp	| 1993	| Konami	| GX234		| 					| 234eaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mtlchamp	|  	| Martial Champion (ver EAB)				| 		| 1993	| Konami	| GX234		| 					| 234eab01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mtlchampj	|  	| Martial Champion (ver JAA)				| mtlchamp	| 1993	| Konami	| GX234		| 					| 234jaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mtlchampu1	|  	| Martial Champion (ver UAD)				| mtlchamp	| 1993	| Konami	| GX234		| 					| 234uad01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mtlchampu	|  	| Martial Champion (ver UAE)				| mtlchamp	| 1993	| Konami	| GX234		| 					| 234uae01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| megazoneh	|  	| Mega Zone (program code H)				| megazone	| 1983	| Konami (Kosuka| GX319		| 					| 319_h07.11h| src/burn/drv/konami/d_megazone.cpp|
| megazonei	|  	| Mega Zone (program code I)				| megazone	| 1983	| Konami	| GX319		| 					| 319_i07.11h| src/burn/drv/konami/d_megazone.cpp|
| megazonej	|  	| Mega Zone (program code J)				| megazone	| 1983	| Konami (Interl| GX319		| 					| 319_j07.11h| src/burn/drv/konami/d_megazone.cpp|
| megazone	|  	| Mega Zone (program code L)				| 		| 1983	| Konami	| GX319		| 					| 319_l07.11h| src/burn/drv/konami/d_megazone.cpp|
| megazonea	|  	| Mega Zone (unknown program code 1)			| megazone	| 1983	| Konami (Interl| GX319		| 					| ic59_cpu.bin| src/burn/drv/konami/d_megazone.cpp|
| megazoneb	|  	| Mega Zone (unknown program code 2)			| megazone	| 1983	| Konami	| GX319		| 					| 7.11h| src/burn/drv/konami/d_megazone.cpp|
| merlinmm	|  	| Merlins Money Maze					| 		| 1986	| Zilec-Zenitone| Miscellaneous	| 					| merlinmm.ic2| src/burn/drv/konami/d_pingpong.cpp|
| metamrpha	|  	| Metamorphic Force (ver AAA)				| metamrph	| 1993	| Konami	| GX224		| 					| 224aaa01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| metamrphe	|  	| Metamorphic Force (ver EAA - alternate)		| metamrph	| 1993	| Konami	| GX224		| 					| 3.15h| src/burn/drv/konami/d_mystwarr.cpp|
| metamrph	|  	| Metamorphic Force (ver EAA)				| 		| 1993	| Konami	| GX224		| 					| 224eaa01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| metamrphj	|  	| Metamorphic Force (ver JAA)				| metamrph	| 1993	| Konami	| GX224		| 					| 224jaa01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| metamrphu	|  	| Metamorphic Force (ver UAA)				| metamrph	| 1993	| Konami	| GX224		| 					| 224uaa01.15h| src/burn/drv/konami/d_mystwarr.cpp|
| mikie		|  	| Mikie							| 		| 1984	| Konami	| GX469		| 					| n14.11c| src/burn/drv/konami/d_mikie.cpp|
| mikiehs	|  	| Mikie (High School Graffiti)				| mikie		| 1984	| Konami	| GX469		| 					| l14.11c| src/burn/drv/konami/d_mikie.cpp|
| mogura	|  	| Mogura Desse						| 		| 1991	| Konami	| Miscellaneous	| Konami test board			| gx141.5n| src/burn/drv/konami/d_mogura.cpp|
| mmaulers	|  	| Monster Maulers (ver EAA)				| 		| 1993	| Konami	| GX170		| 					| 170eaa07.24m| src/burn/drv/konami/d_mystwarr.cpp|
| mrgoemon	|  	| Mr. Goemon (Japan)					| 		| 1986	| Konami	| GX621		| 					| 621d01.10c| src/burn/drv/konami/d_gberet.cpp|
| mx5000	|  	| MX5000						| 		| 1987	| Konami	| GX669		| 					| 669_r01.16c| src/burn/drv/konami/d_flkatck.cpp|
| mystwarraa	|  	| Mystic Warriors (ver AAA)				| mystwarr	| 1993	| Konami	| GX128		| 					| 128aaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mystwarra	|  	| Mystic Warriors (ver AAB)				| mystwarr	| 1993	| Konami	| GX128		| 					| 128aab01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mystwarr	|  	| Mystic Warriors (ver EAA)				| 		| 1993	| Konami	| GX128		| 					| 128eaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mystwarrj	|  	| Mystic Warriors (ver JAA)				| mystwarr	| 1993	| Konami	| GX128		| 					| 128jaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| mystwarru	|  	| Mystic Warriors (ver UAA)				| mystwarr	| 1993	| Konami	| GX128		| 					| 128uaa01.20f| src/burn/drv/konami/d_mystwarr.cpp|
| nemesis	|  	| Nemesis (ROM version)					| 		| 1985	| Konami	| GX400		| 					| 456-d01.12a| src/burn/drv/konami/d_nemesis.cpp|
| nemesisuk	|  	| Nemesis (World?, ROM version)				| nemesis	| 1985	| Konami	| GX400		| 					| 456-e01.12a| src/burn/drv/konami/d_nemesis.cpp|
| nyanpani	|  	| Nyan Nyan Panic (Japan)				| kittenk	| 1988	| Konami	| GX712		| 					| 712-j10.15k| src/burn/drv/konami/d_nemesis.cpp|
| orius		|  	| Orius (ver UAA)					| xexex		| 1991	| Konami	| GX067		| 					| 067uaa01.16d| src/burn/drv/konami/d_xexex.cpp|
| pandoras	|  	| Pandora's Palace					| 		| 1984	| Konami / Inter| GX328		| 					| pand_j13.cpu| src/burn/drv/konami/d_pandoras.cpp|
| parodiusa	|  	| Parodius DA! (Asia)					| parodius	| 1990	| Konami	| GX955		| 					| b-18.f5| src/burn/drv/konami/d_parodius.cpp|
| parodiusj	|  	| Parodius DA! (Japan)					| parodius	| 1990	| Konami	| GX955		| 					| 955e01.f5| src/burn/drv/konami/d_parodius.cpp|
| parodius	|  	| Parodius DA! (World, set 1)				| 		| 1990	| Konami	| GX955		| 					| 955l01.f5| src/burn/drv/konami/d_parodius.cpp|
| parodiuse	|  	| Parodius DA! (World, set 2)				| parodius	| 1990	| Konami	| GX955		| 					| 2.f5| src/burn/drv/konami/d_parodius.cpp|
| pootan	|  	| Pootan						| pooyan	| 1982	| bootleg	| GX320		| 					| poo_ic22.bin| src/burn/drv/konami/d_pooyan.cpp|
| pooyan	|  	| Pooyan						| 		| 1982	| Konami	| GX320		| 					| 1.4a| src/burn/drv/konami/d_pooyan.cpp|
| pooyans	|  	| Pooyan (Stern)					| pooyan	| 1982	| [Konami] (Ster| GX320		| 					| ic22_a4.cpu| src/burn/drv/konami/d_pooyan.cpp|
| psurge	|  	| Power Surge						| 		| 1988	| Vision Electro| Miscellaneous	| 					| p1| src/burn/drv/konami/d_timeplt.cpp|
| punkshotj	|  	| Punk Shot (Japan 2 Players)				| punkshot	| 1990	| Konami	| GX907		| 					| 907z02.i7| src/burn/drv/konami/d_tmnt.cpp|
| punkshot2	|  	| Punk Shot (US 2 Players)				| punkshot	| 1990	| Konami	| GX907		| 					| 907m02.i7| src/burn/drv/konami/d_tmnt.cpp|
| punkshot	|  	| Punk Shot (US 4 Players)				| 		| 1990	| Konami	| GX907		| 					| 907-j02.i7| src/burn/drv/konami/d_tmnt.cpp|
| punkshot2e	|  	| Punk Shot (World 2 Players)				| punkshot	| 1990	| Konami	| GX907		| 					| 907_2.i7| src/burn/drv/konami/d_tmnt.cpp|
| quarth	|  	| Quarth (Japan)					| blockhl	| 1989	| Konami	| GX973		| 					| 973j02.e21| src/burn/drv/konami/d_blockhl.cpp|
| qgakumon	|  	| Quiz Gakumon no Susume (Japan ver. JA2 Type L)	| 		| 1993	| Konami	| GX248		| 					| 248jaa02.8e| src/burn/drv/konami/d_tmnt.cpp|
| rackemup	|  	| Rack 'em Up (program code L)				| 		| 1987	| Konami	| GX765		| 					| 765_l02.7e| src/burn/drv/konami/d_battlnts.cpp|
| reaktor	|  	| Reaktor (Track & Field conversion)			| 		| 1987	| Zilec		| Miscellaneous	| 					| prog3.bin| src/burn/drv/konami/d_trackfld.cpp|
| ringohja	|  	| Ring no Ohja (Japan 2 Players ver. N)			| mainevt	| 1988	| Konami	| GX799		| 					| 799n02.k11| src/burn/drv/konami/d_mainevt.cpp|
| roadf		|  	| Road Fighter (set 1)					| 		| 1984	| Konami	| GX461		| 					| g05_g01.bin| src/burn/drv/konami/d_hyperspt.cpp|
| roadf2	|  	| Road Fighter (set 2)					| roadf		| 1984	| Konami	| GX461		| 					| 5g| src/burn/drv/konami/d_hyperspt.cpp|
| roadf3	|  	| Road Fighter (set 3, conversion hack on Hyper Sports PCB)| roadf		| 1984	| hack		| GX330		| 					| 1-2.g7| src/burn/drv/konami/d_hyperspt.cpp|
| rocnrope	|  	| Roc'n Rope						| 		| 1983	| Konami	| GX364		| 					| rr1.1h| src/burn/drv/konami/d_rocnrope.cpp|
| rocnropek	|  	| Roc'n Rope (Kosuka)					| rocnrope	| 1983	| Konami / Kosuk| GX364		| 					| rnr_h1.vid| src/burn/drv/konami/d_rocnrope.cpp|
| rockragea	|  	| Rock'n Rage (prototype?)				| rockrage	| 1986	| Konami	| GX620		| 					| 620n01.16c| src/burn/drv/konami/d_rockrage.cpp|
| rockrage	|  	| Rock'n Rage (World)					| 		| 1986	| Konami	| GX620		| 					| 620q01.16c| src/burn/drv/konami/d_rockrage.cpp|
| rollergj	|  	| Rollergames (Japan)					| rollerg	| 1991	| Konami	| GX999		| 					| 999v02.bin| src/burn/drv/konami/d_rollerg.cpp|
| rollerg	|  	| Rollergames (US)					| 		| 1991	| Konami	| GX999		| 					| 999m02.g7| src/burn/drv/konami/d_rollerg.cpp|
| ropeman	|  	| Ropeman (bootleg of Roc'n Rope)			| rocnrope	| 1983	| bootleg	| GX364		| 					| r1.1j| src/burn/drv/konami/d_rocnrope.cpp|
| rushatck	|  	| Rush'n Attack (US)					| gberet	| 1985	| Konami	| GX577		| 					| 577h03.10c| src/burn/drv/konami/d_gberet.cpp|
| spyu		|  	| S.P.Y. - Special Project Y (US ver. M)		| spy		| 1989	| Konami	| GX857		| 					| 857m03.bin| src/burn/drv/konami/d_spy.cpp|
| spy		|  	| S.P.Y. - Special Project Y (World ver. N)		| 		| 1989	| Konami	| GX857		| 					| 857n03.bin| src/burn/drv/konami/d_spy.cpp|
| salamand	|  	| Salamander (version D)				| 		| 1986	| Konami	| GX587		| 					| 587-d02.18b| src/burn/drv/konami/d_nemesis.cpp|
| salamandj	|  	| Salamander (version J)				| salamand	| 1986	| Konami	| GX587		| 					| 587-j02.18b| src/burn/drv/konami/d_nemesis.cpp|
| scotrsht	|  	| Scooter Shooter					| 		| 1985	| Konami	| Miscellaneous	| 					| gx545_g03_12c.bin| src/burn/drv/konami/d_scotrsht.cpp|
| shaolins	|  	| Shao-lin's Road (set 1)				| kicker	| 1985	| Konami	| GX477		| 					| 477l03.d9| src/burn/drv/konami/d_shaolins.cpp|
| shaolinb	|  	| Shao-lin's Road (set 2)				| kicker	| 1985	| Konami	| GX477		| 					| 3.h4| src/burn/drv/konami/d_shaolins.cpp|
| mikiej	|  	| Shinnyuushain Tooru-kun				| mikie		| 1984	| Konami	| GX469		| 					| n14.11c| src/burn/drv/konami/d_mikie.cpp|
| spaceplt	|  	| Space Pilot (set 1)					| timeplt	| 1982	| bootleg	| GX393		| 					| sp1| src/burn/drv/konami/d_timeplt.cpp|
| spaceplta	|  	| Space Pilot (set 2)					| timeplt	| 1982	| bootleg	| GX393		| 					| 1| src/burn/drv/konami/d_timeplt.cpp|
| ssridersabd	|  	| Sunset Riders (2 Players ver. ABD)			| ssriders	| 1991	| Konami	| GX064		| 					| 064abd02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersebc	|  	| Sunset Riders (2 Players ver. EBC)			| ssriders	| 1991	| Konami	| GX064		| 					| 064ebc02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersebd	|  	| Sunset Riders (2 Players ver. EBD)			| ssriders	| 1991	| Konami	| GX064		| 					| 064ebd02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersjbd	|  	| Sunset Riders (2 Players ver. JBD)			| ssriders	| 1991	| Konami	| GX064		| 					| 064jbd02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersubc	|  	| Sunset Riders (2 Players ver. UBC)			| ssriders	| 1991	| Konami	| GX064		| 					| 064ubc02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersadd	|  	| Sunset Riders (4 Players ver. ADD)			| ssriders	| 1991	| Konami	| GX064		| 					| 064add02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssriderseaa	|  	| Sunset Riders (4 Players ver. EAA)			| ssriders	| 1991	| Konami	| GX064		| 					| 064eaa02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssriders	|  	| Sunset Riders (4 Players ver. EAC)			| 		| 1991	| Konami	| GX064		| 					| 064eac02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersjac	|  	| Sunset Riders (4 Players ver. JAC)			| ssriders	| 1991	| Konami	| GX064		| 					| 064jac02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersjad	|  	| Sunset Riders (4 Players ver. JAD)			| ssriders	| 1991	| Konami	| GX064		| 					| 064jad02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersuab	|  	| Sunset Riders (4 Players ver. UAB)			| ssriders	| 1991	| Konami	| GX064		| 					| 064uab02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersuac	|  	| Sunset Riders (4 Players ver. UAC)			| ssriders	| 1991	| Konami	| GX064		| 					| 064uac02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersuda	|  	| Sunset Riders (4 Players ver. UDA)			| ssriders	| 1991	| Konami	| GX064		| 					| 064uda02.8e| src/burn/drv/konami/d_tmnt.cpp|
| ssridersb	| D NW	| Sunset Riders (bootleg 4 Players ver. ADD)		| ssriders	| 1991	| Konami	| GX064		| 					| sunsetb.03| src/burn/drv/konami/d_tmnt.cpp|
| sbaskete	|  	| Super Basketball (version E, encrypted)		| sbasketb	| 1984	| Konami	| Miscellaneous	| 					| 405e05.14j| src/burn/drv/konami/d_sbasketb.cpp|
| sbasketg	|  	| Super Basketball (version G, encrypted)		| sbasketb	| 1984	| Konami	| Miscellaneous	| 					| 405g05.14j| src/burn/drv/konami/d_sbasketb.cpp|
| sbasketh	|  	| Super Basketball (version H, unprotected)		| sbasketb	| 1984	| Konami	| Miscellaneous	| 					| 405h05.14j| src/burn/drv/konami/d_sbasketb.cpp|
| sbasketb	|  	| Super Basketball (version I, encrypted)		| 		| 1984	| Konami	| Miscellaneous	| 					| 405g05.14j| src/burn/drv/konami/d_sbasketb.cpp|
| sbishi	|  	| Super Bishi Bashi Championship (ver JAA, 2 Players)	| 		| 1998	| Konami	| Miscellaneous	| Imperfect gfx (bad priorities)	| 675jaa05.12e| src/burn/drv/konami/d_bishi.cpp|
| sbishika	|  	| Super Bishi Bashi Championship (ver KAA, 3 Players)	| sbishi	| 1998	| Konami	| Miscellaneous	| Imperfect gfx (bad priorities)	| 675kaa05.12e| src/burn/drv/konami/d_bishi.cpp|
| sbishik	|  	| Super Bishi Bashi Championship (ver KAB, 3 Players)	| sbishi	| 1998	| Konami	| Miscellaneous	| Imperfect gfx (bad priorities)	| kab05.12e| src/burn/drv/konami/d_bishi.cpp|
| scontra	|  	| Super Contra						| 		| 1988	| Konami	| GX775		| 					| 775-e02.k11| src/burn/drv/konami/d_thunderx.cpp|
| scontraj	|  	| Super Contra (Japan)					| scontra	| 1988	| Konami	| GX775		| 					| 775-f02.bin| src/burn/drv/konami/d_thunderx.cpp|
| suratka	|  	| Surprise Attack (Asia ver. L)				| suratk	| 1990	| Konami	| GX911		| 					| 911j01.f5| src/burn/drv/konami/d_surpratk.cpp|
| suratkj	|  	| Surprise Attack (Japan ver. M)			| suratk	| 1990	| Konami	| GX911		| 					| 911m01.f5| src/burn/drv/konami/d_surpratk.cpp|
| suratk	|  	| Surprise Attack (World ver. K)			| 		| 1990	| Konami	| GX911		| 					| 911j01.f5| src/burn/drv/konami/d_surpratk.cpp|
| tmht2pa	|  	| Teenage Mutant Hero Turtles (UK 2 Players, version ?)	| tmnt		| 1989	| Konami	| GX963		| 					| 963-_23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmht2p	|  	| Teenage Mutant Hero Turtles (UK 2 Players, version U)	| tmnt		| 1989	| Konami	| GX963		| 					| 963-u23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmhtb		|  	| Teenage Mutant Hero Turtles (UK 4 Players, version ?)	| tmnt		| 1989	| Konami	| GX963		| 					| unk3.i17| src/burn/drv/konami/d_tmnt.cpp|
| tmht		|  	| Teenage Mutant Hero Turtles (UK 4 Players, version F)	| tmnt		| 1989	| Konami	| GX963		| 					| 963-f23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmhta		|  	| Teenage Mutant Hero Turtles (UK 4 Players, version S)	| tmnt		| 1989	| Konami	| GX963		| 					| 963-s23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmht22pe	|  	| Teenage Mutant Hero Turtles - Turtles in Time (2 Players ver. EBA)| tmnt2	| 1991	| Konami	| GX063		| 					| 063eba02.8e| src/burn/drv/konami/d_tmnt.cpp|
| tmht24pe	|  	| Teenage Mutant Hero Turtles - Turtles in Time (4 Players ver. EAA)| tmnt2	| 1991	| Konami	| GX063		| 					| 063eaa02.8e| src/burn/drv/konami/d_tmnt.cpp|
| tmnta		|  	| Teenage Mutant Ninja Turtles (Asia 4 Players, version ?)| tmnt		| 1990	| Konami	| GX963		| 					| tmnt j17.bin| src/burn/drv/konami/d_tmnt.cpp|
| tmnt2pj	|  	| Teenage Mutant Ninja Turtles (Japan 2 Players, version 1)| tmnt		| 1990	| Konami	| GX963		| 					| 963-123.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmntj		|  	| Teenage Mutant Ninja Turtles (Japan 4 Players, version 2)| tmnt		| 1990	| Konami	| GX963		| 					| 963_223.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmnt2po	|  	| Teenage Mutant Ninja Turtles (Oceania 2 Players, version ?)| tmnt		| 1989	| Konami	| GX963		| 					| tmnt123.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmntuc	|  	| Teenage Mutant Ninja Turtles (US 4 Players, version H)| tmnt		| 1989	| Konami	| GX963		| 					| 963-h23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmntub	|  	| Teenage Mutant Ninja Turtles (US 4 Players, version J)| tmnt		| 1989	| Konami	| GX963		| 					| 963-j23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmntua	|  	| Teenage Mutant Ninja Turtles (US 4 Players, version N)| tmnt		| 1989	| Konami	| GX963		| 					| 963-n23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmntu		|  	| Teenage Mutant Ninja Turtles (US 4 Players, version R)| tmnt		| 1989	| Konami	| GX963		| 					| 963-r23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmnt		|  	| Teenage Mutant Ninja Turtles (World 4 Players, version X)| 		| 1989	| Konami	| GX963		| 					| 963-x23.j17| src/burn/drv/konami/d_tmnt.cpp|
| tmnt22pu	|  	| Teenage Mutant Ninja Turtles - Turtles in Time (2 Players ver. UDA)| tmnt2	| 1991	| Konami	| GX063		| 					| 063uda02.8e| src/burn/drv/konami/d_tmnt.cpp|
| tmnt2a	|  	| Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. ADA)| tmnt2	| 1991	| Konami	| GX063		| 					| 063ada02.8e| src/burn/drv/konami/d_tmnt.cpp|
| tmnt2		|  	| Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UAA)| 	| 1991	| Konami	| GX063		| 					| 063uaa02.8e| src/burn/drv/konami/d_tmnt.cpp|
| tmnt24pu	|  	| Teenage Mutant Ninja Turtles - Turtles in Time (4 Players ver. UEA)| tmnt2	| 1991	| Konami	| GX063		| 					| 063uea02.8e| src/burn/drv/konami/d_tmnt.cpp|
| froundl	|  	| The Final Round (ver. L)				| fround	| 1988	| Konami	| GX870		| 					| 870_l21.bin| src/burn/drv/konami/d_twin16.cpp|
| fround	|  	| The Final Round (ver. M)				| 		| 1988	| Konami	| GX870		| 					| 870_m21.bin| src/burn/drv/konami/d_twin16.cpp|
| thehustlj	|  	| The Hustler (Japan, program code J)			| rackemup	| 1987	| Konami	| GX765		| 					| 765_j02.7e| src/burn/drv/konami/d_battlnts.cpp|
| thehustl	|  	| The Hustler (Japan, program code M)			| rackemup	| 1987	| Konami	| GX765		| 					| 765_m02.7e| src/burn/drv/konami/d_battlnts.cpp|
| mainevt2p	|  	| The Main Event (2 Players ver. X)			| mainevt	| 1988	| Konami	| GX799		| 					| 799x02.k11| src/burn/drv/konami/d_mainevt.cpp|
| mainevto	|  	| The Main Event (4 Players ver. F)			| mainevt	| 1988	| Konami	| GX799		| 					| 799f02.k11| src/burn/drv/konami/d_mainevt.cpp|
| mainevt	|  	| The Main Event (4 Players ver. Y)			| 		| 1988	| Konami	| GX799		| 					| 799y02.k11| src/burn/drv/konami/d_mainevt.cpp|
| mastkin	|  	| The Masters of Kin					| 		| 1988	| Du Tech	| Miscellaneous	| Colors are wrong			| mk3| src/burn/drv/konami/d_trackfld.cpp|
| simpsons2pa	|  	| The Simpsons (2 Players Asia)				| simpsons	| 1991	| Konami	| GX072		| 					| 072-g02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons2pj	|  	| The Simpsons (2 Players Japan)			| simpsons	| 1991	| Konami	| GX072		| 					| 072-s02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons2p	|  	| The Simpsons (2 Players World, set 1)			| simpsons	| 1991	| Konami	| GX072		| 					| 072-g02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons2p2	|  	| The Simpsons (2 Players World, set 2)			| simpsons	| 1991	| Konami	| GX072		| 					| 072-g02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons2p3	|  	| The Simpsons (2 Players World, set 3)			| simpsons	| 1991	| Konami	| GX072		| 					| 072-g02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons4pa	|  	| The Simpsons (4 Players Asia)				| simpsons	| 1991	| Konami	| GX072		| 					| 072-v02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons	|  	| The Simpsons (4 Players World, set 1)			| 		| 1991	| Konami	| GX072		| 					| 072-g02.16c| src/burn/drv/konami/d_simpsons.cpp|
| simpsons4pe	|  	| The Simpsons (4 Players World, set 2)			| simpsons	| 1991	| Konami	| GX072		| 					| 072-g02.16c| src/burn/drv/konami/d_simpsons.cpp|
| thunderxj	|  	| Thunder Cross (Japan)					| thunderx	| 1988	| Konami	| GX873		| 					| 873-n03.k15| src/burn/drv/konami/d_thunderx.cpp|
| thunderx	|  	| Thunder Cross (set 1)					| 		| 1988	| Konami	| GX873		| 					| 873-s03.k15| src/burn/drv/konami/d_thunderx.cpp|
| thunderxa	|  	| Thunder Cross (set 2)					| thunderx	| 1988	| Konami	| GX873		| 					| 873-k03.k15| src/burn/drv/konami/d_thunderx.cpp|
| thunderxb	|  	| Thunder Cross (set 3)					| thunderx	| 1988	| Konami	| GX873		| 					| 873-03.k15| src/burn/drv/konami/d_thunderx.cpp|
| thndrx2a	|  	| Thunder Cross II (Asia)				| thndrx2	| 1991	| Konami	| GX073		| 					| 073-aa-m02.11c| src/burn/drv/konami/d_tmnt.cpp|
| thndrx2j	|  	| Thunder Cross II (Japan)				| thndrx2	| 1991	| Konami	| GX073		| 					| 073-ja-k02.11c| src/burn/drv/konami/d_tmnt.cpp|
| thndrx2	|  	| Thunder Cross II (World)				| 		| 1991	| Konami	| GX073		| 					| 073-ea-l02.11c| src/burn/drv/konami/d_tmnt.cpp|
| timeplt	|  	| Time Pilot						| 		| 1982	| Konami	| GX393		| 					| tm1| src/burn/drv/konami/d_timeplt.cpp|
| tp84		|  	| Time Pilot '84 (set 1)				| 		| 1984	| Konami	| GX388		| 					| 388_f04.7j| src/burn/drv/konami/d_tp84.cpp|
| tp84a		|  	| Time Pilot '84 (set 2)				| tp84		| 1984	| Konami	| GX388		| 					| 388_f04.7j| src/burn/drv/konami/d_tp84.cpp|
| tp84b		|  	| Time Pilot '84 (set 3)				| tp84		| 1984	| Konami	| GX388		| 					| 388j05.8j| src/burn/drv/konami/d_tp84.cpp|
| timeplta	|  	| Time Pilot (Atari)					| timeplt	| 1982	| Konami (Atari | GX393		| 					| cd_e1.bin| src/burn/drv/konami/d_timeplt.cpp|
| timepltc	|  	| Time Pilot (Centuri)					| timeplt	| 1982	| Konami (Centur| GX393		| 					| cd1y| src/burn/drv/konami/d_timeplt.cpp|
| jackalj	|  	| Tokushu Butai Jackal (Japan, 8-way Joystick)		| jackal	| 1986	| Konami	| Miscellaneous	| 					| 631_t02.15d| src/burn/drv/konami/d_jackal.cpp|
| topgunbl	|  	| Top Gunner (bootleg, Rotary Joystick)			| jackal	| 1986	| bootleg	| Miscellaneous	| 					| t-3.c5| src/burn/drv/konami/d_jackal.cpp|
| topgunr	|  	| Top Gunner (US, 8-way Joystick)			| jackal	| 1986	| Konami	| Miscellaneous	| 					| 631_u02.15d| src/burn/drv/konami/d_jackal.cpp|
| trackfld	|  	| Track & Field						| 		| 1983	| Konami	| Miscellaneous	| 					| a01_e01.bin| src/burn/drv/konami/d_trackfld.cpp|
| trackfldc	|  	| Track & Field (Centuri)				| trackfld	| 1983	| Konami (Centur| Miscellaneous	| 					| f01.1a| src/burn/drv/konami/d_trackfld.cpp|
