This list contains all games supported by FinalBurn Neo.

6907 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					| 861m01.k18| src/burn/drv/konami/d_88games.cpp|
| banbam	|  	| BanBam						| 		| 1984	| Sun Electronic| Miscellaneous	| 					| ban-rom2.ic7| src/burn/drv/pre90s/d_markham.cpp|
| bangball	|  	| Bang Bang Ball (v1.05)				| 		| 1996	| Banpresto / Ku| Miscellaneous	| 					| b-ball_j_rom@006.u18| src/burn/drv/pst90s/d_metro.cpp|
| b2b		|  	| Bang Bang Busters (2010 NCI release)			| 		| 2000	| Visco		| Neo Geo MVS	| 					| 071.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| bangbead	|  	| Bang Bead						| 		| 2000	| Visco		| Neo Geo MVS	| 					| 259-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| bangbedp	|  	| Bang Bead (Prototype?)				| bangbead	| 2000	| Visco		| Neo Geo MVS	| 					| 259-p1.bin| src/burn/drv/neogeo/d_neogeo.cpp|
| bang		|  	| Bang!							| 		| 1998	| Gaelco	| Miscellaneous	| 					| bang53.ic53| src/burn/drv/pst90s/d_gaelco2.cpp|
| bankp		|  	| Bank Panic						| 		| 1984	| [Sanritsu] Seg| Miscellaneous	| 					| epr-6175.7e| src/burn/drv/sega/d_bankp.cpp|
| baraduke	|  	| Baraduke						| aliensec	| 1985	| Namco		| Miscellaneous	| 					| bd1_3.9c| src/burn/drv/pre90s/d_baraduke.cpp|
| baryon	|  	| Baryon - Future Assault (set 1)			| 		| 1997	| SemiCom	| Miscellaneous	| 					| 2_semicom| src/burn/drv/pst90s/d_dreamwld.cpp|
| baryona	|  	| Baryon - Future Assault (set 2)			| baryon	| 1997	| SemiCom	| Miscellaneous	| 					| 3.bin| src/burn/drv/pst90s/d_dreamwld.cpp|
| chf_baseball	|  	| Baseball						| 		| 1977	| Fairchild	| Channel F	| 					| baseball.bin| src/burn/drv/channelf/d_channelf.cpp|
| bstars2	|  	| Baseball Stars 2					| 		| 1992	| SNK		| Neo Geo MVS	| 					| 041-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| bstarsh	|  	| Baseball Stars Professional (NGH-002)			| bstars	| 1990	| SNK		| Neo Geo MVS	| 					| 002-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| bstars	|  	| Baseball Stars Professional (NGM-002)			| 		| 1990	| SNK		| Neo Geo MVS	| 					| 002-pg.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| batman	|  	| Batman						| 		| 1991	| Atari Games	| Miscellaneous	| 					| 136085-2030.10r| src/burn/drv/atari/d_batman.cpp|
| batman2	|  	| Batman Part 2						| phoenix	| 1981	| bootleg	| Galaxian	| 					| 01.bin| src/burn/drv/galaxian/d_galaxian.cpp|
| batsugunb	|  	| Batsugun (Korean PCB)					| batsugun	| 1993	| Toaplan	| Dual Toaplan G| 					| large_rom1.bin| src/burn/drv/toaplan/d_batsugun.cpp|
| batsugun	|  	| Batsugun (set 1)					| 		| 1993	| Toaplan	| Dual Toaplan G| 					| tp030_1a.bin| src/burn/drv/toaplan/d_batsugun.cpp|
| batsuguna	|  	| Batsugun (set 2)					| batsugun	| 1993	| Toaplan	| Dual Toaplan G| 					| tp030_01.bin| src/burn/drv/toaplan/d_batsugun.cpp|
| batsugunsp	|  	| Batsugun (Special Ver.)				| batsugun	| 1993	| Toaplan	| Dual Toaplan G| 					| tp030-sp.u69| src/burn/drv/toaplan/d_batsugun.cpp|
| battlntsj	|  	| Battlantis (Japan, program code E)			| battlnts	| 1987	| Konami	| GX777		| 					| 777_e02.7e| src/burn/drv/konami/d_battlnts.cpp|
| battlntsa	|  	| Battlantis (program code F)				| battlnts	| 1987	| Konami	| GX777		| 					| 777_f02.7e| src/burn/drv/konami/d_battlnts.cpp|
| battlnts	|  	| Battlantis (program code G)				| 		| 1987	| Konami	| GX777		| 					| 777_g02.7e| src/burn/drv/konami/d_battlnts.cpp|
| bbakraidja	|  	| Battle Bakraid (Japan) (Wed Apr 7 1999)		| bbakraid	| 1999	| Eighting	| Toaplan GP9001| 					| prg0u022.bin| src/burn/drv/toaplan/d_bbakraid.cpp|
| bbakraidc	|  	| Battle Bakraid - Unlimited Version (China) (Tue Jun 8 1999)| bbakraid	| 1999	| Eighting	| Toaplan GP9001| 					| prg0u022_china.bin| src/burn/drv/toaplan/d_bbakraid.cpp|
| bbakraidj	|  	| Battle Bakraid - Unlimited Version (Japan) (Tue Jun 8 1999)| bbakraid	| 1999	| Eighting	| Toaplan GP9001| 					| prg0u022.new| src/burn/drv/toaplan/d_bbakraid.cpp|
| bbakraid	|  	| Battle Bakraid - Unlimited Version (U.S.A.) (Tue Jun 8 1999)| 		| 1999	| Eighting	| Toaplan GP9001| 					| prg0u022_usa.bin| src/burn/drv/toaplan/d_bbakraid.cpp|
| batlballo	|  	| Battle Balls (Germany, earlier)			| senkyu	| 1995	| Seibu Kaihatsu| SPI		| 					| seibu_1a.211| src/burn/drv/pst90s/d_seibuspi.cpp|
| batlball	|  	| Battle Balls (Germany, newer)				| senkyu	| 1995	| Seibu Kaihatsu| SPI		| 					| 1.211| src/burn/drv/pst90s/d_seibuspi.cpp|
| batlballa	|  	| Battle Balls (Hong Kong)				| senkyu	| 1995	| Seibu Kaihatsu| SPI		| 					| senkyua1.bin| src/burn/drv/pst90s/d_seibuspi.cpp|
| batlballe	|  	| Battle Balls (Hong Kong, earlier)			| senkyu	| 1995	| Seibu Kaihatsu| SPI		| 					| 1_10-16| src/burn/drv/pst90s/d_seibuspi.cpp|
| batlballpt	|  	| Battle Balls (Portugal)				| senkyu	| 1995	| Seibu Kaihatsu| SPI		| 					| senkyu_prog0_171195.u0211| src/burn/drv/pst90s/d_seibuspi.cpp|
| batlballu	|  	| Battle Balls (US)					| senkyu	| 1995	| Seibu Kaihatsu| SPI		| 					| sen1.bin| src/burn/drv/pst90s/d_seibuspi.cpp|
| batlbubl	|  	| Battle Bubble (v2.00)					| bangball	| 1999	| Banpresto (Lim| Miscellaneous	| 					| lm-01.u11| src/burn/drv/pst90s/d_metro.cpp|
| bchopper	|  	| Battle Chopper (World)				| 		| 1987	| Irem		| Irem M72	| 					| mh_c-h0-b.ic40| src/burn/drv/irem/d_m72.cpp|
| batcira	|  	| Battle Circuit (970319 Asia)				| batcir	| 1997	| Capcom	| CPS2		| 					| btca.03| src/burn/drv/capcom/d_cps2.cpp|
| batcird	|  	| Battle Circuit (970319 Euro Phoenix Edition)		| batcir	| 1997	| bootleg	| CPS2		| 					| btced.03| src/burn/drv/capcom/d_cps2.cpp|
| batcir	|  	| Battle Circuit (970319 Euro)				| 		| 1997	| Capcom	| CPS2		| 					| btce.03| src/burn/drv/capcom/d_cps2.cpp|
| batcirj	|  	| Battle Circuit (970319 Japan)				| batcir	| 1997	| Capcom	| CPS2		| 					| btcj.03| src/burn/drv/capcom/d_cps2.cpp|
| battlex	|  	| Battle Cross						| 		| 1982	| Omori Electric| Miscellaneous	| 					| p-rom1.6| src/burn/drv/pre90s/d_battlex.cpp|
| bcruzm12	|  	| Battle Cruiser M-12					| 		| 1983	| Sigma Enterpri| Miscellaneous	| 					| d-84_3.12c| src/burn/drv/pre90s/d_marineb.cpp|
| btlfieldb	|  	| Battle Field (bootleg)				| timesold	| 1987	| bootleg	| Alpha 68k	| no-rotation joystick ver		| 3.bin| src/burn/drv/pre90s/d_alpha68k2.cpp|
| btlfield	|  	| Battle Field (Japan)					| timesold	| 1987	| Alpha Denshi C| Alpha 68k	| 					| bfv1_03.bin| src/burn/drv/pre90s/d_alpha68k2.cpp|
| flipshot	|  	| Battle Flip Shot					| 		| 1998	| Visco		| Neo Geo MVS	| 					| 247-p1.p1| src/burn/drv/neogeo/d_neogeo.cpp|
| bgareggahk	|  	| Battle Garegga (Austria / Hong Kong) (Sat Feb 3 1996)	| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					| prg_0.rom| src/burn/drv/toaplan/d_battleg.cpp|
| bgaregga	|  	| Battle Garegga (Europe / USA / Japan / Asia) (Sat Feb 3 1996)| 		| 1996	| Raizing / 8ing| Toaplan GP9001| 					| prg0.bin| src/burn/drv/toaplan/d_battleg.cpp|
| bgareggat	|  	| Battle Garegga (location test) (Wed Jan 17 1996)	| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					| battlegaregga-prg0-8-1-17.bin| src/burn/drv/toaplan/d_battleg.cpp|
| bgareggatw	|  	| Battle Garegga (Taiwan / Germany) (Thu Feb 1 1996)	| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					| garegga_prg0.u123| src/burn/drv/toaplan/d_battleg.cpp|
| bgaregganv	|  	| Battle Garegga - New Version (Austria / Hong Kong) (Sat Mar 2 1996)| bgaregga| 1996	| Raizing / 8ing| Toaplan GP9001| 					| prg_0.bin| src/burn/drv/toaplan/d_battleg.cpp|
| bgareggacn	|  	| Battle Garegga - Type 2 (Denmark / China) (Tue Apr 2 1996)| bgaregga	| 1996	| Raizing / 8ing| Toaplan GP9001| 					| u123| src/burn/drv/toaplan/d_battleg.cpp|
| bgareggat2	|  	| Battle Garegga - Type 2 (Europe / USA / Japan / Asia) (Sat Mar 2 1996)| bgaregga| 1996| Raizing / 8ing| Toaplan GP9001| 					| prg0| src/burn/drv/toaplan/d_battleg.cpp|
| bgareggaz	|  	| Battle Garegga Zakk version (Europe / USA / Japan / Asia) (Sat Feb 3 1996)| bgaregga| 2008| Raizing / 8ing| Toaplan GP9001| 					| garegga-prg0.bin| src/burn/drv/toaplan/d_battleg.cpp|
| btlkroad	|  	| Battle K-Road						| 		| 1994	| Psikyo	| Psikyo 68EC020| 					| 4-u46.bin| src/burn/drv/psikyo/d_psikyo.cpp|
| btlkroadk	|  	| Battle K-Road (Korea)					| btlkroad	| 1994	| Psikyo	| Psikyo 68EC020| 					| 4,dot.u46| src/burn/drv/psikyo/d_psikyo.cpp|
| battlane	|  	| Battle Lane! Vol. 5 (set 1)				| 		| 1986	| Technos Japan | Miscellaneous	| 					| da00-5| src/burn/drv/pre90s/d_battlane.cpp|
| battlane2	|  	| Battle Lane! Vol. 5 (set 2)				| battlane	| 1986	| Technos Japan | Miscellaneous	| 					| da00-3| src/burn/drv/pre90s/d_battlane.cpp|
| battlane3	|  	| Battle Lane! Vol. 5 (set 3)				| battlane	| 1986	| Technos Japan | Miscellaneous	| 					| bl_04.rom| src/burn/drv/pre90s/d_battlane.cpp|
| atlantisb	|  	| Battle of Atlantis (bootleg)				| atlantis	| 1981	| bootleg	| Galaxian	| 					| 1| src/burn/drv/galaxian/d_galaxian.cpp|
| atlantis	|  	| Battle of Atlantis (set 1)				| 		| 1981	| Comsoft	| Galaxian	| 					| 2c| src/burn/drv/galaxian/d_galaxian.cpp|
| atlantis2	|  	| Battle of Atlantis (set 2)				| atlantis	| 1981	| Comsoft	| Galaxian	| 					| boa_1.2c| src/burn/drv/galaxian/d_galaxian.cpp|
| bsharkj	|  	| Battle Shark (Japan)					| bshark	| 1989	| Taito Corporat| Taito Z	| 					| c34_71.98| src/burn/drv/taito/d_taitoz.cpp|
| bsharkjjs	|  	| Battle Shark (Japan, Joystick)			| bshark	| 1989	| Taito Corporat| Taito Z	| 					| c34_79.98| src/burn/drv/taito/d_taitoz.cpp|
| bsharku	|  	| Battle Shark (US)					| bshark	| 1989	| Taito America | Taito Z	| 					| c34_71.98| src/burn/drv/taito/d_taitoz.cpp|
| bshark	|  	| Battle Shark (World)					| 		| 1989	| Taito Corporat| Taito Z	| 					| c34_71.98| src/burn/drv/taito/d_taitoz.cpp|
| batlzone	|  	| Battle Zone (bootleg of Mayday)			| mayday	| 1980	| bootleg (Video| 6809 System	| 					| 43-2732.rom.bin| src/burn/drv/pre90s/d_williams.cpp|
| bzonec	|  	| Battle Zone (cocktail)				| bzone		| 1980	| Atari		| Miscellaneous	| GFX/Sound Issues			| bz1g4800| src/burn/drv/pre90s/d_bzone.cpp|
| bzonea	|  	| Battle Zone (rev 1)					| bzone		| 1980	| Atari		| Miscellaneous	| GFX/Sound Issues			| 036414-01.e1| src/burn/drv/pre90s/d_bzone.cpp|
| bzone		|  	| Battle Zone (rev 2)					| 		| 1980	| Atari		| Miscellaneous	| GFX/Sound Issues			| 036414-02.e1| src/burn/drv/pre90s/d_bzone.cpp|
| btoads	|  	| Battletoads						| 		| 1994	| Rare / Electro| Miscellaneous	| 					| bt.u102| src/burn/drv/pst90s/d_btoads.cpp|
| bayroute1	|  	| Bay Route (set 1, US, unprotected)			| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					| br.a4| src/burn/drv/sega/d_sys16b.cpp|
| bayroutejd	|  	| Bay Route (set 2, Japan, FD1094 317-0115 decrypted)	| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					| bootleg_epr-12457.a7| src/burn/drv/sega/d_sys16b.cpp|
| bayroutej	|  	| Bay Route (set 2, Japan, FD1094 317-0115)		| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					| epr-12457.a7| src/burn/drv/sega/d_sys16b.cpp|
| bayrouted	|  	| Bay Route (set 3, World, FD1094 317-0116 decrypted)	| bayroute	| 1989	| Sunsoft / Sega| System 16B	| 					| bootleg_epr-12517.a7| src/burn/drv/sega/d_sys16b.cpp|
| bayroute	|  	| Bay Route (set 3, World, FD1094 317-0116)		| 		| 1989	| Sunsoft / Sega| System 16B	| 					| epr-12517.a7| src/burn/drv/sega/d_sys16b.cpp|
| beaminv	| D	| Beam Invader						| 		| 1979	| Teknon Kogyo	| Miscellaneous	| No sound				| 0a| src/burn/drv/pre90s/d_beaminv.cpp|
| bbustersja	|  	| Beast Busters (Japan, Version 2, 2 Players)		| bbusters	| 1989	| SNK		| Miscellaneous	| 					| bb3_ver2_j2.k10| src/burn/drv/pre90s/d_bbusters.cpp|
| bbustersj	|  	| Beast Busters (Japan, Version 2, 3 Players)		| bbusters	| 1989	| SNK		| Miscellaneous	| 					| bb3_ver2_j3.k10| src/burn/drv/pre90s/d_bbusters.cpp|
| bbustersua	|  	| Beast Busters (US, Version 2)				| bbusters	| 1989	| SNK		| Miscellaneous	| 					| bb-ver2-u3.k10| src/burn/drv/pre90s/d_bbusters.cpp|
| bbustersu	|  	| Beast Busters (US, Version 3)				| bbusters	| 1989	| SNK		| Miscellaneous	| 					| bb-ver3-u3.k10| src/burn/drv/pre90s/d_bbusters.cpp|
| bbusters	|  	| Beast Busters (World)					| 		| 1989	| SNK		| Miscellaneous	| 					| bb-3.k10| src/burn/drv/pre90s/d_bbusters.cpp|
| beastfp	|  	| Beastie Feastie (Pac-Man conversion)			| suprglob	| 1984	| Epos Corporati| Pac-man	| 					| bf-u2.bin| src/burn/drv/pre90s/d_pacman.cpp|
| ddp2100c	|  	| Bee Storm - DoDonPachi II (V100, China)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_100
	DDP2_ASIC027_CHINA
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2100hk	|  	| Bee Storm - DoDonPachi II (V100, Hong Kong)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_100
	DDP2_ASIC027_HONG_KONG
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2100j	|  	| Bee Storm - DoDonPachi II (V100, Japan)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_100
	DDP2_ASIC027_JAPAN
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2100k	|  	| Bee Storm - DoDonPachi II (V100, Korea)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_100
	DDP2_ASIC027_KOREA
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2100t	|  	| Bee Storm - DoDonPachi II (V100, Taiwan)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_100
	DDP2_ASIC027_TAIWAN
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2100	|  	| Bee Storm - DoDonPachi II (V100, World)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_100
	DDP2_ASIC027_WORLD
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2101c	|  	| Bee Storm - DoDonPachi II (V101, China)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_101
	DDP2_ASIC027_CHINA
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2101hk	|  	| Bee Storm - DoDonPachi II (V101, Hong Kong)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_101
	DDP2_ASIC027_HONG_KONG
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2101j	|  	| Bee Storm - DoDonPachi II (V101, Japan)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_101
	DDP2_ASIC027_JAPAN
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2101k	|  	| Bee Storm - DoDonPachi II (V101, Korea)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_101 
	DDP2_ASIC027_KOREA
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2101t	|  	| Bee Storm - DoDonPachi II (V101, Taiwan)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_101
	DDP2_ASIC027_TAIWAN
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2101	|  	| Bee Storm - DoDonPachi II (V101, World)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_101
	DDP2_ASIC027_WORLD
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2c		|  	| Bee Storm - DoDonPachi II (V102, China)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_102
	DDP2_ASIC027_CHINA
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2hk	|  	| Bee Storm - DoDonPachi II (V102, Hong Kong)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_102
	DDP2_ASIC027_HONG_KONG
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2j		|  	| Bee Storm - DoDonPachi II (V102, Japan)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_102
	DDP2_ASIC027_JAPAN
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2k		|  	| Bee Storm - DoDonPachi II (V102, Korea)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_102
	DDP2_ASIC027_KOREA
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2t		|  	| Bee Storm - DoDonPachi II (V102, Taiwan)		| ddp2		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_102
	DDP2_ASIC027_TAIWAN
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| ddp2		|  	| Bee Storm - DoDonPachi II (V102, World)		| 		| 2001	| IGS		| PolyGameMaster| 					| [] = {	DDP2_PROGRAM_102
	DDP2_ASIC027_WORLD
	DDP2_COMMON_ROMS
};| src/burn/drv/pgm/d_pgm.cpp|
| blswhstla	|  	| Bells & Whistles (Asia, version M)			| blswhstl	| 1991	| Konami	| GX060		| 					| 060_m02.e09| src/burn/drv/konami/d_tmnt.cpp|
| blswhstl	|  	| Bells & Whistles (World, version L)			| 		| 1991	| Konami	| GX060		| 					| 060_l02.e09| src/burn/drv/konami/d_tmnt.cpp|
| berabohmb	|  	| Beraboh Man (Japan, Rev B)				| berabohm	| 1988	| Namco		| System 1	| 					| bm1_s0.bin| src/burn/drv/pre90s/d_namcos1.cpp|
| berabohm	|  	| Beraboh Man (Japan, Rev C)				| 		| 1988	| Namco		| System 1	| 					| bm1_s0.bin| src/burn/drv/pre90s/d_namcos1.cpp|
| bermudatj	|  	| Bermuda Triangle (Japan)				| bermudat	| 1987	| SNK		| Miscellaneous	| 					| p1.4p| src/burn/drv/pre90s/d_snk.cpp|
| bermudata	|  	| Bermuda Triangle (World Wars) (US)			| worldwar	| 1987	| SNK		| Miscellaneous	| 					| wwu4.4p| src/burn/drv/pre90s/d_snk.cpp|
| bermudat	|  	| Bermuda Triangle (World?)				| 		| 1987	| SNK		| Miscellaneous	| 					| p1.4p| src/burn/drv/pre90s/d_snk.cpp|
| berzerkf	|  	| Berzerk (French Speech, revision RC31)		| berzerk	| 1980	| Stern Electron| Miscellaneous	| 					| berzerk_rc31f_1c.rom0.1c| src/burn/drv/pre90s/d_berzerk.cpp|
| berzerkg	|  	| Berzerk (German Speech, revision RC32)		| berzerk	| 1980	| Stern Electron| Miscellaneous	| 					| berzerk_rc32_1c.rom0.1c| src/burn/drv/pre90s/d_berzerk.cpp|
| berzerkb	|  	| Berzerk (revision RC28)				| berzerk	| 1980	| Stern Electron| Miscellaneous	| 					| berzerk_rc28_1c.rom0.1c| src/burn/drv/pre90s/d_berzerk.cpp|
| berzerka	|  	| Berzerk (revision RC31)				| berzerk	| 1980	| Stern Electron| Miscellaneous	| 					| berzerk_rc31_1c.rom0.1c| src/burn/drv/pre90s/d_berzerk.cpp|
| berzerk	|  	| Berzerk (revision RC31A)				| 		| 1980	| Stern Electron| Miscellaneous	| 					| berzerk_rc31_1c.rom0.1c| src/burn/drv/pre90s/d_berzerk.cpp|
| berzerks	|  	| Berzerk (Spanish Speech, revision RC32)		| berzerk	| 1980	| Stern Electron| Miscellaneous	| 					| berzerk_rc32_1c.rom0.1c| src/burn/drv/pre90s/d_berzerk.cpp|
| bbbxing	|  	| Best Bout Boxing (ver 1.3)				| 		| 1994	| Jaleco	| MegaSystem 32	| 					| mb93138a_25_ver1.3.25| src/burn/drv/pst90s/d_ms32.cpp|
| bestleag	|  	| Best League (bootleg of Big Striker, Italian Serie A)	| bigstrik	| 1993	| bootleg	| Miscellaneous	| 					| 2.bin| src/burn/drv/pst90s/d_bestleag.cpp|
| bestleaw	|  	| Best League (bootleg of Big Striker, World Cup)	| bigstrik	| 1993	| bootleg	| Miscellaneous	| 					| 21_27c101.u67| src/burn/drv/pst90s/d_bestleag.cpp|
| bestbest	|  	| Best Of Best						| 		| 1994	| SunA		| Miscellaneous	| 					| 4.bin| src/burn/drv/pst90s/d_suna16.cpp|
| bestri	|  	| Bestri (Korea, set 1)					| 		| 1998	| F2 System	| Miscellaneous	| 					| ua02.i3| src/burn/drv/pst90s/d_crospang.cpp|
| bestria	|  	| Bestri (Korea, set 2)					| bestri	| 1998	| F2 System	| Miscellaneous	| 					| o_ua02.i3| src/burn/drv/pst90s/d_crospang.cpp|
| punisherbz	|  	| Biaofeng Zhanjing (Chinese bootleg)			| punisher	| 2002	| bootleg	| CPS1		| 					| 23.096| src/burn/drv/capcom/d_cps1.cpp|
| bigbang	|  	| Big Bang (9th Nov. 1993)				| tdragon2	| 1993	| NMK		| NMK16		| 					| eprom.3| src/burn/drv/pst90s/d_nmk16.cpp|
| bigbucks	|  	| Big Bucks						| 		| 1986	| Dynasoft Inc.	| Pac-man	| 					| p.rom| src/burn/drv/pre90s/d_pacman.cpp|
| bigkarnk	|  	| Big Karnak						| 		| 1991	| Gaelco	| Miscellaneous	| 					| d16| src/burn/drv/pst90s/d_gaelco.cpp|
| bigrun	|  	| Big Run (11th Rallye version)				| 		| 1989	| Jaleco	| Miscellaneous	| 					| br8950b.e1| src/burn/drv/pst90s/d_cischeat.cpp|
| bigstrik	|  	| Big Striker						| 		| 1992	| Jaleco	| Mega System 1	| 					| 91105v11.3| src/burn/drv/pre90s/d_megasys1.cpp|
| bigstrkba	|  	| Big Striker (bootleg w/Italian teams)			| bigstrik	| 1992	| bootleg	| Miscellaneous	| 					| 16.cpu17| src/burn/drv/pst90s/d_bigstrkb.cpp|
| bigstrkb	|  	| Big Striker (bootleg)					| bigstrik	| 1992	| bootleg	| Miscellaneous	| 					| footgaa.015| src/burn/drv/pst90s/d_bigstrkb.cpp|
| bigtwin	|  	| Big Twin						| 		| 1995	| Playmark	| Misc		| 					| 2.302| src/burn/drv/pst90s/d_playmark.cpp|
| bikkuric	|  	| Bikkuri Card (Japan)					| 		| 1987	| Peni Soft	| Miscellaneous	| 					| 1.a16| src/burn/drv/konami/d_timeplt.cpp|
| bioatack	|  	| Bio Attack						| 		| 1983	| Taito Corporat| Taito SJ Syste| 					| aa8-01.69| src/burn/drv/taito/d_taitosj.cpp|
| bioship	|  	| Bio-ship Paladin					| 		| 1990	| UPL (American | NMK16		| 					| 2.ic14| src/burn/drv/pst90s/d_nmk16.cpp|
| biomtoyc	|  	| Biomechanical Toy (Ver. 1.0.1870)			| biomtoy	| 1995	| Gaelco	| Miscellaneous	| 					| 18.d18| src/burn/drv/pst90s/d_gaelco.cpp|
| biomtoyb	|  	| Biomechanical Toy (Ver. 1.0.1878)			| biomtoy	| 1995	| Gaelco	| Miscellaneous	| 					| 18.d18| src/burn/drv/pst90s/d_gaelco.cpp|
| biomtoya	|  	| Biomechanical Toy (Ver. 1.0.1884)			| biomtoy	| 1995	| Gaelco	| Miscellaneous	| 					| 18.d18| src/burn/drv/pst90s/d_gaelco.cpp|
| biomtoy	|  	| Biomechanical Toy (Ver. 1.0.1885)			| 		| 1995	| Gaelco	| Miscellaneous	| 					| 18.d18| src/burn/drv/pst90s/d_gaelco.cpp|
| bionicc	|  	| Bionic Commando (Euro)				| 		| 1987	| Capcom	| Miscellaneous	| 					| tse_02.1a| src/burn/drv/pre90s/d_bionicc.cpp|
| bionicc1	|  	| Bionic Commando (US set 1)				| bionicc	| 1987	| Capcom	| Miscellaneous	| 					| tsu_02b.1a| src/burn/drv/pre90s/d_bionicc.cpp|
| bionicc2	|  	| Bionic Commando (US set 2)				| bionicc	| 1987	| Capcom	| Miscellaneous	| 					| tsu_02.1a| src/burn/drv/pre90s/d_bionicc.cpp|
| bioniccbl	|  	| Bionic Commandos (bootleg, set 1)			| bionicc	| 1987	| bootleg	| Miscellaneous	| 					| 02l.bin| src/burn/drv/pre90s/d_bionicc.cpp|
| bioniccbl2	|  	| Bionic Commandos (bootleg, set 2)			| bionicc	| 1987	| bootleg	| Miscellaneous	| 					| tsu_02.1a| src/burn/drv/pre90s/d_bionicc.cpp|
| bioplayc	|  	| Bioplaything Cop (Ver. 1.0.1823, prototype)		| biomtoy	| 1995	| Gaelco	| Miscellaneous	| 					| t.d18| src/burn/drv/pst90s/d_gaelco.cpp|
| birdtrya	|  	| Birdie Try (Japan revision 2)				| birdtry	| 1988	| Data East Corp| DEC0		| 					| ek-04-2.3c| src/burn/drv/dataeast/d_dec0.cpp|
| birdtry	|  	| Birdie Try (Japan revision 2, revision 1 MCU)		| 		| 1988	| Data East Corp| DEC0		| 					| ek-04-2.3c| src/burn/drv/dataeast/d_dec0.cpp|
